"division","school","school_state","event_name","camp_type","event_date","start_time","end_time","grades_or_age","cost","venue_name","venue_city","venue_state","registration_url","contact_email","contact_phone","source_file","source_notes","confidence","year_confirmed","merge_input"
"D1-FBS","Appalachian State University","NC","OL/DL Camp","Lineman Camp","June 13, 2026","","","YOUTH CAMP","","","","","https://www.dowellloggainsfootballcamps.com/","","","AppState.jpg","AM session shown on flyer; interpreted from RapidOCR","medium","yes","events_root.csv"
"D1-FBS","Appalachian State University","NC","Skills Camp","Camp","June 13, 2026","","","YOUTH CAMP","","","","","https://www.dowellloggainsfootballcamps.com/","","","AppState.jpg","PM session shown on flyer; interpreted from RapidOCR","medium","yes","events_root.csv"
"D1-FBS","Appalachian State University","NC","Specialist Camp","Specialist Camp","June 14, 2026","","","YOUTH CAMP","","","","","https://www.dowellloggainsfootballcamps.com/","","","AppState.jpg","Interpreted from RapidOCR","medium","yes","events_root.csv"
"D1-FBS","Appalachian State University","NC","Youth Camp","Youth Camp","June 2, 2026","","","YOUTH CAMP","","","","","https://www.dowellloggainsfootballcamps.com/","","","AppState.jpg","Interpreted from RapidOCR","medium","yes","events_root.csv"
"D1-FBS","Appalachian State University","NC","OL/DL Camp","Lineman Camp","June 20, 2026","","","YOUTH CAMP","","","","","https://www.dowellloggainsfootballcamps.com/","","","AppState.jpg","AM session shown on flyer; interpreted from RapidOCR","medium","yes","events_root.csv"
"D1-FBS","Appalachian State University","NC","Skills Camp","Camp","June 20, 2026","","","YOUTH CAMP","","","","","https://www.dowellloggainsfootballcamps.com/","","","AppState.jpg","PM session shown on flyer; interpreted from RapidOCR","medium","yes","events_root.csv"
"D1-FBS","Appalachian State University","NC","OL/DL Camp","Lineman Camp","June 6, 2026","","","YOUTH CAMP","","","","","https://www.dowellloggainsfootballcamps.com/","","","AppState.jpg","AM session shown on flyer; interpreted from RapidOCR","medium","yes","events_root.csv"
"D1-FBS","Appalachian State University","NC","Skills Camp","Camp","June 6, 2026","","","YOUTH CAMP","","","","","https://www.dowellloggainsfootballcamps.com/","","","AppState.jpg","PM session shown on flyer; interpreted from RapidOCR","medium","yes","events_root.csv"
"D1-FBS","Arizona State University","AZ","Elite Prospect Camp","Prospect Camp","June 10, 2026","","","YOUTH CAMP","$65","
STADIUM","","","arizonastatefootballcamps.totalcamps.com","","","ArizonaState_01.jpg, ArizonaState_02.jpg","year inferred as 2026 per instruction","high","no","events_root.csv"
"D1-FBS","Arizona State University","AZ","Elite Prospect Camp","Prospect Camp","June 10TH 2026","","","YOUTH CAMP","$65","
STADIUM","","","arizonastatefootballcamps.totalcamps.com","","","ArizonaState_01.jpg, ArizonaState_02.jpg","","high","yes","events_root.csv"
