"school_state","event_count","school_count","blank_event_date_count","low_confidence_event_count"
"AL","37","10","0","0"
"AR","40","11","0","0"
"AZ","19","4","0","0"
"CA","35","14","0","0"
"CO","24","7","0","0"
"CT","19","6","0","0"
"DC","2","1","0","0"
"DE","4","2","0","0"
"FL","46","13","0","0"
"GA","31","9","0","0"
"IA","21","8","0","0"
"ID","9","3","0","0"
"IL","30","12","0","0"
"IN","17","9","0","0"
"KS","18","8","0","0"
"KY","34","11","0","0"
"LA","31","10","0","0"
"MA","19","11","0","0"
"MD","12","4","0","0"
"ME","5","3","0","0"
"MI","28","13","0","0"
"MN","23","10","0","0"
"MO","43","14","0","0"
"MS","22","7","0","0"
"MT","20","5","0","0"
"NC","66","20","0","0"
"ND","16","5","0","0"
"NE","11","5","0","0"
"NH","13","2","0","0"
"NJ","17","4","0","0"
"NM","10","3","0","0"
"NV","3","2","0","0"
"NY","44","15","0","0"
"OH","63","23","0","0"
"OK","31","9","0","0"
"OR","1","1","0","0"
"PA","77","31","0","0"
"RI","11","3","0","0"
"SC","28","11","0","0"
"SD","10","7","0","0"
"TN","28","9","0","0"
"TX","111","31","0","0"
"UT","18","5","0","0"
"VA","42","11","0","0"
"VT","2","2","0","0"
"WA","11","5","0","0"
"WI","13","10","0","0"
"WV","39","9","0","0"
"WY","3","1","0","0"
